['41.432820#2.140869#0', '41.418584#2.206652#0', '41.432820#2.140869#1'] 10
['41.418584#2.206652#0', '41.432820#2.140869#1', '41.418584#2.206652#1'] 8
['41.477002#2.088048#1', '41.469794#2.081703#1'] 8
['41.457045#2.069652#0', '41.469794#2.081703#0', '41.387859#2.169580#1'] 9
['41.365473#2.087150#1', '41.362120#2.082234#1'] 9
['41.348344#2.024772#0', '41.349336#2.028513#0', '41.349336#2.028513#1'] 12
['41.383014#2.176409#0', '41.423485#2.138751#1'] 8
['41.316164#2.070669#0', '41.317443#2.026333#1'] 10
['41.309725#2.009346#0', '41.317443#2.026333#1'] 11
['41.313032#2.016429#0', '41.317443#2.026333#0'] 8
['41.317443#2.026333#0', '41.308816#2.024693#1'] 9
['41.308816#2.024693#1', '41.317443#2.026333#1'] 9
['41.356318#2.067700#0', '41.352269#2.058848#1'] 9
['41.442091#2.231587#0', '41.449348#2.245466#0'] 9
['41.561201#2.020056#1', '41.562270#2.011917#1'] 8
['41.310662#2.001198#0', '41.309725#2.009346#1'] 12
['41.309725#2.009346#1', '41.310662#2.001198#1'] 8
['41.284997#1.987468#0', '41.307383#1.993615#1'] 9
['41.398079#2.146284#1', '41.397996#2.142172#1'] 8
['41.365473#2.087150#0', '41.362120#2.082234#0'] 9
['41.469794#2.081703#0', '41.471653#2.092490#1'] 8
['41.499078#2.099300#0', '41.499994#2.107491#0'] 8
['41.374003#2.070656#0', '41.404690#2.151256#1'] 9
['41.404528#2.202419#1', '41.399824#2.201761#1'] 8
['41.350749#2.113743#0', '41.345735#2.107156#0'] 8
['41.415025#2.168685#1', '41.437187#2.172104#1'] 8
['41.308816#2.024693#0', '41.315666#2.021000#0'] 10
['41.308816#2.024693#0', '41.317443#2.026333#0'] 12
['41.308816#2.024693#0', '41.317443#2.026333#1'] 9
['41.439602#2.226969#0', '41.525936#2.112056#1'] 12
['41.437187#2.172104#0', '41.440386#2.174723#0'] 8
['41.358155#2.136364#0', '41.358738#2.129616#0'] 8
['41.373127#2.130100#0', '41.369291#2.130327#0'] 11
['41.427717#2.142534#0', '41.423485#2.138751#0'] 10
['41.392562#2.198467#0', '41.404690#2.151256#1'] 8
['41.392562#2.198467#0', '41.400088#2.153158#0'] 12
['41.444842#2.177546#0', '41.440386#2.174723#0'] 8
['41.452836#2.218728#1', '41.448782#2.214773#1'] 9
['41.415025#2.168685#0', '41.437187#2.172104#1'] 8
['41.437187#2.172104#1', '41.440386#2.174723#1'] 11
['41.395764#2.126496#0', '41.395764#2.126496#1', '41.393322#2.130403#1'] 8
['41.315666#2.021000#0', '41.317443#2.026333#0'] 10
['41.315666#2.021000#0', '41.317443#2.026333#1'] 12
['41.412610#2.170897#0', '41.410551#2.175051#0'] 10
['41.427736#2.178573#0', '41.429081#2.173301#0'] 10
['41.356108#2.073693#0', '41.362120#2.082234#0'] 10
['41.302546#2.001149#0', '41.310662#2.001198#1'] 8
['41.302615#2.075968#0', '41.295633#2.076988#0'] 15
['41.302615#2.075968#0', '41.289488#2.073808#0'] 11
['41.421752#2.212962#0', '41.429947#2.217175#1'] 12
['41.317443#2.026333#0', '41.321882#2.015476#1'] 8
['41.321882#2.015476#1', '41.317443#2.026333#1'] 10
['41.429081#2.173301#0', '41.427736#2.178573#1'] 8
['41.445183#2.240685#0', '41.449348#2.245466#0'] 8
['41.375763#2.183247#1', '41.380809#2.173534#1'] 8
['41.449348#2.245466#0', '41.374919#2.078834#1', '41.449348#2.245466#1'] 10
['41.376754#2.125327#0', '41.376149#2.129256#1', '41.376754#2.125327#1'] 8
['41.404304#2.160339#0', '41.401996#2.157776#0'] 9
['41.404304#2.160339#0', '41.401996#2.157776#1'] 9
['41.379835#2.127730#0', '41.382731#2.132358#0'] 15
['41.507096#2.122073#0', '41.506015#2.118275#0'] 11
['41.445274#2.172909#1', '41.440386#2.174723#1'] 8
['41.421752#2.212962#1', '41.429947#2.217175#1'] 14
['41.429947#2.217175#0', '41.421752#2.212962#1'] 8
['41.456562#2.243968#0', '41.437503#2.222422#1'] 10
['41.456562#2.243968#0', '41.437503#2.222422#0'] 10
['41.381235#2.123455#0', '41.429274#2.161219#1'] 8
['41.382731#2.132358#0', '41.379835#2.127730#1'] 11
['41.398352#2.185392#1', '41.399424#2.181889#1'] 11
['41.393322#2.130403#0', '41.395764#2.126496#0', '41.384891#2.163855#0'] 8
['41.289488#2.073808#1', '41.295633#2.076988#1'] 11
['41.437503#2.222422#1', '41.437156#2.217922#1'] 8
['41.369291#2.130327#0', '41.376884#2.175525#0'] 10
['41.385966#2.116965#0', '41.386217#2.112751#0'] 16
['41.380463#2.191290#0', '41.377405#2.189876#0'] 10
['41.380463#2.191290#0', '41.386418#2.196942#0'] 10
['41.383259#2.135977#0', '41.382731#2.132358#0'] 11
['41.383259#2.135977#0', '41.387754#2.135875#0'] 8
['41.452982#2.250575#0', '41.449348#2.245466#0'] 9
['41.404690#2.151256#0', '41.401792#2.147825#1'] 8
['41.379555#2.120054#1', '41.381235#2.123455#1'] 17
['41.446929#1.997801#0', '41.356123#2.163270#0'] 9
['41.446929#1.997801#0', '41.508862#2.137822#0'] 8
['41.506015#2.118275#0', '41.508862#2.137822#0'] 8
['41.386905#2.129297#1', '41.399424#2.181889#1'] 9
['41.386905#2.129297#1', '41.387754#2.135875#1'] 8
['41.387754#2.135875#0', '41.386905#2.129297#1'] 10
['41.406147#2.176002#0', '41.403148#2.173893#0'] 11
['41.404563#2.181095#0', '41.400244#2.177254#1'] 8
['41.404563#2.181095#0', '41.400244#2.177254#0'] 8
['41.377405#2.189876#0', '41.381421#2.187706#1'] 15
['41.386238#2.028018#0', '41.356123#2.163270#0', '41.508862#2.137822#0'] 8
['41.401792#2.147825#0', '41.404690#2.151256#0'] 11
['41.462545#2.171263#0', '41.452277#2.190534#0'] 8
['41.410465#2.131180#0', '41.412782#2.138351#0'] 10
['41.373154#2.141212#0', '41.376398#2.149827#0'] 8
['41.399424#2.181889#0', '41.398352#2.185392#0'] 9
['41.371522#2.151786#0', '41.376398#2.149827#0'] 9
['41.371522#2.151786#0', '41.393697#2.160463#1'] 9
