['51.430896#-0.443597#0', '51.424881#-0.450152#1'] 8
['51.729661#-0.293641#1', '51.749218#-0.339163#1'] 8
['51.303553#-0.335092#0', '51.294245#-0.318755#1'] 8
['51.388707#0.052330#0', '51.387202#0.040945#0'] 8
['51.568410#-0.166480#1', '51.556184#-0.164179#1'] 9
['51.445390#-0.277212#0', '51.452379#-0.301933#0'] 11
['51.515793#-0.153489#0', '51.617566#-0.437868#1'] 9
['51.568410#-0.166480#0', '51.556184#-0.164179#0'] 11
['51.368322#-0.275150#0', '51.314566#-0.307392#1'] 9
['51.646279#-0.419158#0', '51.662798#-0.396158#0', '51.646279#-0.419158#1'] 10
['51.707867#-0.039730#0', '51.716590#-0.030648#0'] 10
['51.386828#-0.319291#0', '51.393308#-0.306026#0'] 8
['51.397195#0.165738#0', '51.400149#0.181255#0'] 9
['51.397195#0.165738#0', '51.400149#0.181255#1'] 8
['51.593975#0.019919#0', '51.590308#0.031593#0'] 8
['51.434200#0.195904#0', '51.400149#0.181255#1'] 8
['51.610175#-0.222612#0', '51.541659#-0.200934#1'] 9
['51.644360#0.067951#0', '51.639784#0.053258#0'] 8
['51.482829#-0.435486#0', '51.473941#-0.455863#0'] 16
['51.652442#-0.201974#0', '51.645529#-0.216173#1'] 10
['51.602627#0.166037#0', '51.580620#0.179821#0'] 11
['51.387095#-0.108517#0', '51.379077#-0.096927#0'] 9
['51.393308#-0.306026#0', '51.386828#-0.319291#1'] 8
['51.482829#-0.435486#1', '51.473941#-0.455863#1'] 8
['51.538002#0.132814#1', '51.542233#0.148010#1'] 10
['51.431276#0.081845#0', '51.425215#0.056748#1'] 9
['51.421977#-0.277587#0', '51.409024#-0.302589#0'] 8
['51.450568#0.185059#1', '51.511536#0.022898#1'] 12
['51.511536#0.022898#0', '51.450568#0.185059#1'] 12
['51.445764#-0.351652#0', '51.446198#-0.333480#0'] 8
['51.429067#-0.110033#0', '51.431007#-0.088245#0'] 9
['51.582065#-0.037219#0', '51.586853#-0.031443#1'] 8
['51.582065#-0.037219#0', '51.586853#-0.031443#0'] 9
['51.453453#-0.442512#0', '51.473941#-0.455863#0'] 15
['51.519047#-0.340228#0', '51.506679#-0.339602#0'] 8
['51.379077#-0.096927#0', '51.387095#-0.108517#1'] 8
['51.690389#-0.418870#0', '51.662798#-0.396158#0'] 9
['51.421977#-0.277587#1', '51.409024#-0.302589#1'] 9
['51.409024#-0.302589#0', '51.421977#-0.277587#1'] 15
['51.417608#-0.103816#0', '51.412720#-0.093837#0', '51.417608#-0.103816#1'] 8
['51.417608#-0.103816#0', '51.412720#-0.093837#0', '51.412720#-0.093837#1'] 8
['51.646279#-0.419158#0', '51.662798#-0.396158#1'] 8
['51.417608#-0.103816#1', '51.412720#-0.093837#1'] 9
['51.589737#-0.305465#1', '51.579261#-0.320613#1'] 11
['51.476233#-0.328116#0', '51.476361#-0.391616#1'] 10
['51.422508#-0.299399#0', '51.436561#-0.312109#0'] 8
['51.422508#-0.299399#0', '51.409024#-0.302589#0'] 8
['51.690389#-0.418870#1', '51.662798#-0.396158#1'] 9
['51.597928#-0.067439#0', '51.601855#-0.054836#1'] 8
['51.450568#0.185059#0', '51.470873#0.187335#0'] 10
['51.422508#-0.299399#1', '51.409024#-0.302589#1'] 9
['51.409024#-0.302589#0', '51.422508#-0.299399#1'] 8
['51.381465#-0.084914#0', '51.395391#-0.086677#0'] 8
['51.381465#-0.084914#0', '51.379077#-0.096927#0'] 8
['51.453087#0.042455#0', '51.463859#0.030459#0'] 8
['51.436561#-0.312109#0', '51.452379#-0.301933#0'] 9
['51.430314#0.170897#0', '51.447279#0.087146#0', '51.447279#0.087146#1'] 8
['51.548745#-0.060483#0', '51.572500#-0.029877#1'] 9
['51.572799#0.159031#0', '51.580620#0.179821#0'] 9
['51.595961#-0.086102#0', '51.593631#-0.105549#0'] 10
['51.481108#0.082407#0', '51.490368#0.072426#0'] 10
['51.624539#0.030047#1', '51.622839#0.043613#1'] 15
['51.622839#0.043613#0', '51.624539#0.030047#0'] 12
['51.622839#0.043613#0', '51.639784#0.053258#1'] 13
['51.622839#0.043613#0', '51.639784#0.053258#0'] 9
['51.522949#-0.307656#0', '51.511831#-0.302396#1'] 8
['51.522949#-0.307656#0', '51.511831#-0.302396#0'] 8
['51.592748#0.206909#1', '51.572261#0.199460#1'] 8
['51.580620#0.179821#0', '51.592748#0.206909#1'] 8
['51.592748#0.206909#0', '51.580620#0.179821#0'] 11
['51.592748#0.206909#0', '51.519310#-0.072951#0'] 8
['51.572799#0.159031#1', '51.572261#0.199460#1'] 8
['51.572799#0.159031#1', '51.580620#0.179821#1'] 8
['51.580620#0.179821#0', '51.572799#0.159031#1'] 12
['51.749218#-0.339163#0', '51.747520#-0.309167#1'] 8
['51.408658#-0.044921#0', '51.406126#-0.031011#0'] 9
['51.488631#-0.231837#1', '51.490846#-0.222988#1'] 16
['51.550232#0.030739#0', '51.543297#0.024757#0'] 8
['51.430314#0.170897#1', '51.447279#0.087146#1'] 8
['51.408930#-0.178559#0', '51.369957#-0.153378#0'] 9
['51.515375#-0.097784#0', '51.381386#-0.069575#1'] 9
['51.381386#-0.069575#0', '51.506309#-0.099046#0'] 11
['51.536822#0.082095#0', '51.545535#0.061119#1'] 12
['51.652893#-0.405082#0', '51.662798#-0.396158#1'] 10
['51.652893#-0.405082#0', '51.662798#-0.396158#0'] 9
['51.652523#0.081186#0', '51.639784#0.053258#0'] 11
['51.382970#-0.405046#1', '51.371435#-0.395363#1'] 8
['51.507732#-0.220152#0', '51.585158#-0.198806#1'] 8
['51.512615#0.034839#1', '51.511536#0.022898#1'] 8
['51.330173#-0.274391#0', '51.386638#-0.198244#1'] 8
['51.593631#-0.105549#0', '51.595961#-0.086102#1'] 11
['51.549747#-0.229421#1', '51.547573#-0.218515#1'] 8
['51.578989#-0.345777#1', '51.586391#-0.335035#1'] 11
['51.586391#-0.335035#0', '51.578989#-0.345777#1'] 8
['51.379077#-0.096927#1', '51.371818#-0.104302#1'] 12
['51.590308#0.031593#0', '51.639784#0.053258#1'] 9
['51.404691#-0.270729#0', '51.409024#-0.302589#1'] 11
['51.404691#-0.270729#0', '51.409024#-0.302589#0'] 11
['51.453087#0.042455#1', '51.463859#0.030459#1'] 16
['51.408658#-0.044921#1', '51.406126#-0.031011#1'] 9
['51.406126#-0.031011#0', '51.408658#-0.044921#1'] 12
['51.562850#0.081946#0', '51.572261#0.199460#1'] 13
['51.639784#0.053258#0', '51.652523#0.081186#1'] 12
['51.512615#0.034839#0', '51.511536#0.022898#0'] 13
['51.392795#-0.065582#1', '51.395391#-0.086677#1'] 9
['51.476148#0.039680#0', '51.487112#0.010850#1'] 8
['51.445262#-0.405862#0', '51.444833#-0.420183#0'] 13
['51.445262#-0.405862#0', '51.444833#-0.420183#1'] 14
['51.463859#0.030459#0', '51.480885#0.025783#0'] 8
['51.463859#0.030459#0', '51.448370#0.015528#1'] 8
['51.409024#-0.302589#0', '51.404691#-0.270729#1'] 12
['51.488122#-0.296390#1', '51.475066#-0.286135#1'] 10
['51.445262#-0.405862#1', '51.444833#-0.420183#1'] 13
['51.379416#-0.291148#0', '51.371852#-0.301244#1'] 8
['51.445301#-0.031473#1', '51.431064#-0.038025#1'] 8
['51.415875#-0.153978#0', '51.423608#-0.166390#0'] 11
['51.415875#-0.153978#0', '51.423608#-0.166390#1'] 8
['51.570635#-0.190851#0', '51.546014#-0.181029#0'] 8
['51.522949#-0.307656#1', '51.511831#-0.302396#1'] 13
['51.511831#-0.302396#0', '51.522949#-0.307656#1'] 9
['51.522949#-0.307656#1', '51.506309#-0.099046#1'] 8
['51.506309#-0.099046#0', '51.522949#-0.307656#1'] 8
['51.514076#-0.286546#0', '51.511831#-0.302396#0'] 9
['51.394387#-0.292721#0', '51.409024#-0.302589#1'] 10
['51.394387#-0.292721#0', '51.409024#-0.302589#0'] 8
['51.551029#-0.096999#1', '51.551877#-0.110646#1'] 8
['51.551029#-0.096999#1', '51.543006#-0.105798#1'] 12
['51.543006#-0.105798#0', '51.551029#-0.096999#1'] 9
['51.431064#-0.038025#0', '51.425689#-0.052310#0'] 10
['51.431064#-0.038025#0', '51.425689#-0.052310#1'] 8
['51.561860#-0.200411#0', '51.555874#-0.212097#0'] 9
['51.476148#0.039680#1', '51.480885#0.025783#1'] 9
['51.572261#0.199460#0', '51.580620#0.179821#0'] 11
['51.506679#-0.339602#1', '51.505701#-0.326120#1'] 12
['51.423608#-0.166390#0', '51.415875#-0.153978#1'] 8
['51.415875#-0.153978#1', '51.423608#-0.166390#1'] 10
['51.586391#-0.335035#0', '51.579261#-0.320613#0'] 10
['51.436394#-0.163179#0', '51.423608#-0.166390#0'] 12
['51.536783#-0.315212#0', '51.511831#-0.302396#0', '51.511831#-0.302396#1'] 9
['51.437050#-0.152188#0', '51.450194#-0.150519#1'] 8
['51.437050#-0.152188#0', '51.423608#-0.166390#0'] 9
['51.429115#-0.065352#0', '51.411689#-0.061050#1'] 8
['51.516959#-0.079966#0', '51.544511#0.202034#1'] 16
['51.437050#-0.152188#1', '51.450194#-0.150519#1'] 8
['51.393308#-0.306026#1', '51.409024#-0.302589#1'] 19
['51.409024#-0.302589#0', '51.393308#-0.306026#1'] 16
['51.588816#-0.216020#0', '51.585269#-0.228948#1'] 9
['51.604082#-0.109758#1', '51.593631#-0.105549#1'] 13
['51.652893#-0.405082#1', '51.662798#-0.396158#1'] 12
['51.662798#-0.396158#0', '51.652893#-0.405082#1'] 13
['51.431064#-0.038025#1', '51.425689#-0.052310#1'] 12
['51.530821#-0.293699#0', '51.511831#-0.302396#0'] 12
['51.411689#-0.061050#1', '51.420836#-0.079051#1'] 8
['51.411689#-0.061050#1', '51.425689#-0.052310#1'] 9
['51.454860#-0.206678#0', '51.463329#-0.215425#0'] 15
['51.454860#-0.206678#0', '51.458349#-0.190212#0'] 8
['51.412949#-0.289509#0', '51.409024#-0.302589#1'] 18
['51.412949#-0.289509#0', '51.409024#-0.302589#0'] 21
['51.582149#-0.096380#0', '51.571653#-0.096425#1'] 8
['51.423608#-0.166390#0', '51.436394#-0.163179#1'] 9
['51.412949#-0.289509#1', '51.409024#-0.302589#1'] 17
['51.409024#-0.302589#0', '51.412949#-0.289509#1'] 14
['51.519688#0.010740#0', '51.511536#0.022898#0'] 8
['51.586692#-0.061774#0', '51.586197#-0.078078#0'] 8
['51.411689#-0.061050#0', '51.420836#-0.079051#0'] 11
['51.476233#-0.328116#0', '51.474019#-0.342616#1', '51.476233#-0.328116#1'] 8
['51.487538#-0.269454#0', '51.475066#-0.286135#0'] 8
['51.555296#-0.175156#1', '51.556184#-0.164179#1'] 9
['51.555296#-0.175156#1', '51.546014#-0.181029#1'] 9
['51.394387#-0.292721#1', '51.409024#-0.302589#1'] 12
['51.409024#-0.302589#0', '51.394387#-0.292721#1'] 8
['51.551029#-0.096999#0', '51.551877#-0.110646#1'] 8
['51.551029#-0.096999#0', '51.551877#-0.110646#0'] 10
['51.551029#-0.096999#0', '51.543006#-0.105798#0'] 14
['51.393308#-0.306026#0', '51.409024#-0.302589#1'] 9
['51.393308#-0.306026#0', '51.409024#-0.302589#0'] 26
['51.495248#-0.033675#1', '51.490258#-0.046170#1'] 9
['51.490258#-0.046170#0', '51.495248#-0.033675#1'] 8
['51.379077#-0.096927#0', '51.371818#-0.104302#0'] 11
['51.379077#-0.096927#0', '51.371818#-0.104302#1'] 8
['51.495248#-0.033675#0', '51.498930#-0.049675#0'] 9
['51.495248#-0.033675#0', '51.490258#-0.046170#1'] 9
['51.495248#-0.033675#0', '51.490258#-0.046170#0'] 13
['51.505701#-0.326120#1', '51.510259#-0.317419#1'] 9
['51.488122#-0.296390#0', '51.495479#-0.278017#0'] 8
['51.488122#-0.296390#0', '51.494452#-0.310360#0'] 11
['51.488122#-0.296390#0', '51.475066#-0.286135#0'] 12
['51.488122#-0.296390#0', '51.484062#-0.179006#1'] 8
['51.488122#-0.296390#0', '51.484062#-0.179006#0'] 11
['51.431007#-0.088245#0', '51.420836#-0.079051#1'] 8
['51.461412#-0.226458#0', '51.463329#-0.215425#1'] 14
['51.461412#-0.226458#0', '51.463329#-0.215425#0'] 22
['51.474019#-0.342616#0', '51.476233#-0.328116#1'] 13
['51.474019#-0.342616#0', '51.476233#-0.328116#0'] 16
['51.510259#-0.317419#0', '51.511831#-0.302396#1'] 9
['51.510259#-0.317419#0', '51.511831#-0.302396#0'] 12
['51.510259#-0.317419#0', '51.526246#-0.079833#1'] 9
['51.533274#-0.227990#0', '51.533062#-0.215480#0'] 8
['51.431007#-0.088245#0', '51.420836#-0.079051#0'] 9
['51.461412#-0.226458#1', '51.463329#-0.215425#1'] 17
['51.463329#-0.215425#0', '51.461412#-0.226458#1'] 20
['51.409024#-0.302589#0', '51.461412#-0.226458#1'] 9
['51.454860#-0.206678#1', '51.463329#-0.215425#1'] 15
['51.463329#-0.215425#0', '51.454860#-0.206678#1'] 15
['51.470721#-0.055326#1', '51.470187#-0.070420#1'] 8
['51.478257#-0.029323#1', '51.471056#-0.034446#1'] 9
['51.478257#-0.029323#1', '51.476410#-0.041613#1'] 8
['51.495479#-0.278017#0', '51.511831#-0.302396#0'] 10
['51.571653#-0.096425#1', '51.582149#-0.096380#1'] 9
['51.491360#-0.072293#1', '51.490508#-0.087986#1'] 12
['51.499141#-0.080067#0', '51.491360#-0.072293#1'] 10
['51.585269#-0.228948#0', '51.588816#-0.216020#1'] 9
['51.588816#-0.216020#1', '51.585269#-0.228948#1'] 11
['51.415229#-0.223885#1', '51.418361#-0.205184#1'] 8
['51.418361#-0.205184#0', '51.415229#-0.223885#1'] 11
