['51.285280#0.198517#0', '51.298322#0.170197#1'] 18
['51.702669#-0.051988#0', '51.704823#-0.033462#0'] 19
['51.775932#-0.436716#0', '51.754794#-0.470709#0'] 16
['51.326162#-0.279719#0', '51.338602#-0.266466#0'] 16
['51.635110#0.290102#0', '51.614843#0.296966#0'] 19
['51.378500#-0.047024#0', '51.376070#-0.016819#1'] 19
['51.378500#-0.047024#0', '51.383549#-0.086310#0'] 18
['51.378500#-0.047024#0', '51.373368#-0.099501#0'] 17
['51.749538#0.088130#0', '51.770615#0.096327#0'] 17
['51.665565#-0.282241#0', '51.654231#-0.269823#0'] 26
['51.631627#-0.010191#0', '51.613797#-0.018323#0'] 16
['51.655978#-0.418872#0', '51.656983#-0.397661#0'] 18
['51.758903#-0.493151#0', '51.754794#-0.470709#0'] 22
['51.608808#-0.027248#0', '51.613797#-0.018323#0'] 17
['51.760843#0.071783#0', '51.770615#0.096327#1'] 16
['51.760843#0.071783#0', '51.770615#0.096327#0'] 26
['51.378317#-0.442267#0', '51.451017#-0.430588#1'] 17
['51.383793#-0.335846#0', '51.383793#-0.335846#1', '51.499455#-0.126983#1'] 16
['51.757102#-0.297072#0', '51.754508#-0.320564#0'] 20
['51.491326#0.124118#0', '51.484120#0.151783#0'] 17
['51.654231#-0.269823#0', '51.665565#-0.282241#1'] 34
['51.518902#-0.463741#0', '51.511209#-0.478567#1'] 17
['51.656983#-0.397661#0', '51.655978#-0.418872#1'] 16
['51.778548#0.124519#0', '51.770615#0.096327#0'] 18
['51.620377#-0.316324#0', '51.647461#-0.223469#1'] 19
['51.592122#0.176165#0', '51.575607#0.180461#0'] 25
['51.770615#0.096327#0', '51.760843#0.071783#1'] 23
['51.566156#0.271549#0', '51.575607#0.180461#0', '51.566156#0.271549#1'] 16
['51.484143#0.337217#0', '51.474216#0.330674#0'] 16
['51.643191#0.054576#0', '51.622185#0.041100#0'] 23
['51.756071#-0.016505#0', '51.730325#-0.023847#0'] 25
['51.561916#0.216052#0', '51.522695#0.199022#1'] 17
['51.343324#-0.073427#0', '51.344590#-0.044760#0', '51.344590#-0.044760#1'] 16
['51.343324#-0.073427#0', '51.373368#-0.099501#0'] 16
['51.730325#-0.023847#0', '51.756071#-0.016505#1'] 25
['51.606546#0.067143#1', '51.600421#0.042361#1'] 17
['51.387507#-0.182183#0', '51.397834#-0.196364#0'] 24
['51.387507#-0.182183#0', '51.379165#-0.164794#0'] 17
['51.751721#-0.238283#0', '51.751721#-0.238283#1', '51.762685#-0.248470#1'] 16
['51.762685#-0.248470#0', '51.751721#-0.238283#1', '51.762685#-0.248470#1'] 18
['51.467902#0.176207#0', '51.484120#0.151783#0'] 20
['51.474216#0.330674#0', '51.485010#0.302392#0'] 16
['51.574806#0.057534#0', '51.554259#0.033691#0'] 23
['51.564248#-0.354742#1', '51.559933#-0.376791#1'] 16
['51.790010#-0.201318#0', '51.768071#-0.227859#0'] 16
['51.362420#0.099995#0', '51.380925#0.084455#0'] 21
['51.362420#0.099995#0', '51.386413#0.106237#0'] 16
['51.421164#-0.378111#0', '51.409743#-0.302636#0'] 18
['51.390073#-0.419679#1', '51.380601#-0.406052#1'] 20
['51.315583#-0.084892#0', '51.344590#-0.044760#1'] 17
['51.485010#0.302392#0', '51.482434#0.285380#0'] 28
['51.764360#0.137565#0', '51.770615#0.096327#0'] 19
['51.641078#0.360185#0', '51.627097#0.329698#0'] 18
['51.607784#-0.169854#0', '51.597986#-0.181765#1'] 16
['51.357978#-0.142166#0', '51.355482#-0.160891#1'] 30
['51.754794#-0.470709#0', '51.737743#-0.460882#1'] 28
['51.401975#-0.339463#0', '51.401115#-0.367317#0'] 20
['51.401975#-0.339463#0', '51.409743#-0.302636#0'] 17
['51.737743#-0.460882#0', '51.754794#-0.470709#1'] 16
['51.737743#-0.460882#0', '51.754794#-0.470709#0'] 26
['51.365966#-0.181871#0', '51.368243#-0.200902#0'] 17
['51.480337#-0.440757#0', '51.467887#-0.453411#0'] 26
