['48.812514#2.107623#0', '48.805504#2.120655#0'] 23
['48.885307#2.244117#0', '48.889571#2.251927#0'] 27
['48.885307#2.244117#0', '48.891917#2.237261#0'] 22
['48.898327#2.235940#0', '48.891917#2.237261#0'] 20
['48.891792#2.339263#1', '48.886342#2.342193#1'] 22
['48.882078#2.369181#0', '48.873294#2.363426#0'] 27
['48.890243#2.334326#0', '48.891792#2.339263#0'] 23
['48.856849#2.316576#1', '48.854903#2.312287#1'] 20
['48.891792#2.339263#0', '48.886342#2.342193#0'] 26
['48.882517#2.362563#0', '48.873294#2.363426#0'] 22
['48.864878#2.323431#0', '48.877348#2.305155#1'] 20
['48.849031#2.308092#0', '48.861963#2.335616#0'] 23
['48.856849#2.316576#0', '48.854903#2.312287#0'] 21
['48.855458#2.288726#1', '48.863327#2.288239#1'] 24
['48.855458#2.288726#1', '48.858574#2.298731#1'] 26
['48.855458#2.288726#1', '48.858221#2.294241#1'] 24
['48.850213#2.299391#1', '48.858574#2.298731#1'] 21
['48.855458#2.288726#0', '48.858221#2.294241#0'] 23
['48.847854#2.371591#0', '48.854211#2.371439#0'] 20
['48.854903#2.312287#0', '48.858574#2.298731#0'] 24
['48.854903#2.312287#0', '48.861963#2.335616#0'] 23
['48.881716#2.345297#1', '48.886342#2.342193#1'] 31
['48.854903#2.312287#1', '48.863337#2.314387#1'] 23
['48.854903#2.312287#1', '48.873868#2.295474#1'] 20
['48.854903#2.312287#1', '48.858574#2.298731#1'] 27
['48.854903#2.312287#1', '48.858221#2.294241#1'] 23
['48.854903#2.312287#1', '48.861963#2.335616#1'] 23
['48.848899#2.352894#1', '48.853076#2.348191#1'] 33
['48.848899#2.352894#1', '48.861963#2.335616#1'] 21
['48.852968#2.356185#1', '48.853076#2.348191#1'] 36
['48.877348#2.305155#0', '48.870409#2.309022#0'] 20
['48.878533#2.333508#0', '48.874779#2.327955#0'] 33
['48.878533#2.333508#0', '48.871809#2.332093#0'] 25
['48.881716#2.345297#0', '48.886342#2.342193#0'] 32
['48.873073#2.337219#1', '48.873950#2.343426#1'] 25
['48.873073#2.337219#1', '48.871809#2.332093#1'] 31
['48.871809#2.332093#0', '48.873073#2.337219#1'] 24
['48.885777#2.351110#0', '48.886342#2.342193#0'] 20
['48.842235#2.324074#0', '48.861963#2.335616#0'] 24
['48.850213#2.299391#0', '48.858574#2.298731#0'] 26
['48.850213#2.299391#0', '48.858221#2.294241#0'] 29
['48.847948#2.330228#0', '48.847136#2.338479#0'] 26
['48.847948#2.330228#0', '48.850537#2.325320#0'] 30
['48.847948#2.330228#0', '48.853269#2.332692#0'] 28
['48.869916#2.291436#1', '48.873868#2.295474#1'] 21
['48.869916#2.291436#1', '48.864499#2.296196#1'] 20
['48.856684#2.329036#1', '48.853269#2.332692#1'] 22
['48.853269#2.332692#0', '48.856684#2.329036#1'] 22
['48.856684#2.329036#1', '48.861963#2.335616#1'] 28
['48.877227#2.349687#0', '48.878264#2.356160#0'] 24
['48.877227#2.349687#0', '48.873950#2.343426#0'] 22
['48.848139#2.344924#1', '48.847136#2.338479#1'] 35
['48.848139#2.344924#1', '48.855393#2.343176#1'] 30
['48.848139#2.344924#1', '48.853076#2.348191#1'] 61
['48.848139#2.344924#1', '48.861963#2.335616#1'] 21
