['48.547481#2.402177#0', '48.572880#2.446180#0'] 14
['48.572880#2.446180#0', '48.547481#2.402177#1'] 12
['49.041918#2.200526#1', '49.016229#2.208805#1'] 12
['48.950684#2.670582#0', '48.977479#2.628365#0'] 18
['48.933421#2.049029#0', '48.918958#2.031435#1'] 12
['48.969088#2.551921#0', '48.951446#2.569178#0'] 13
['48.531935#2.283485#0', '48.605079#2.303253#0'] 12
['48.531091#2.551499#0', '48.532476#2.531532#0'] 12
['48.951446#2.569178#0', '48.969088#2.551921#1'] 13
['48.801930#2.024390#0', '48.771396#2.014180#1'] 13
['49.008728#2.314984#0', '48.987094#2.324727#0', '49.008728#2.314984#1'] 20
['49.034800#2.128421#0', '49.021211#2.153290#0', '49.021211#2.153290#1'] 15
['48.750861#2.446780#0', '48.740458#2.455598#1'] 13
['48.946794#2.620620#0', '48.957937#2.603816#0'] 18
['48.946794#2.620620#0', '48.942738#2.598304#1'] 12
['48.559401#2.316902#0', '48.605079#2.303253#0'] 12
['48.684106#2.178200#0', '48.654333#2.231653#1'] 13
['48.751774#2.480514#0', '48.754845#2.499796#0', '48.751774#2.480514#1'] 20
['48.751774#2.480514#0', '48.751774#2.480514#1', '48.754845#2.499796#1'] 15
['48.997033#2.149704#0', '48.973062#2.202414#0'] 13
['48.833039#2.181781#0', '48.819825#2.209377#0'] 12
['48.588159#2.238375#0', '48.566555#2.188353#1'] 15
['48.703187#2.216445#0', '48.713617#2.248758#0'] 14
['48.933421#2.049029#0', '48.977831#2.034326#1'] 12
['48.612311#2.411875#0', '48.613415#2.382103#0'] 12
['48.572880#2.446180#0', '48.555259#2.424416#0'] 14
['48.572880#2.446180#0', '48.555259#2.424416#1'] 12
['48.762940#2.257260#0', '48.806740#2.322037#0'] 12
['48.762940#2.257260#0', '48.806740#2.322037#1'] 20
['48.819825#2.209377#0', '48.833039#2.181781#1'] 12
['48.945289#2.518306#0', '48.962685#2.530046#1', '48.945289#2.518306#1'] 15
['48.541830#2.660242#0', '48.545190#2.640365#1'] 15
['49.032706#2.341526#0', '49.010443#2.372182#1'] 13
['48.740458#2.455598#0', '48.750861#2.446780#0'] 16
['48.806522#2.049923#1', '48.801780#2.063047#1'] 13
['48.548285#2.671984#0', '48.541830#2.660242#0'] 13
['48.545190#2.640365#0', '48.541830#2.660242#0'] 13
['48.634551#2.429733#0', '48.629753#2.454874#1'] 16
['48.783823#2.587963#0', '48.783712#2.602045#0'] 12
['48.641289#2.412032#0', '48.649870#2.405734#0'] 13
['48.641289#2.412032#0', '48.631522#2.414080#0'] 12
['48.641289#2.412032#0', '48.634551#2.429733#0'] 13
['48.598538#2.284692#0', '48.605079#2.303253#0'] 19
['48.555259#2.424416#0', '48.613415#2.382103#0', '48.555259#2.424416#1'] 12
['48.600462#2.463906#0', '48.585143#2.469069#1'] 15
['48.600462#2.463906#0', '48.613392#2.462655#0'] 12
['48.598538#2.284692#1', '48.605079#2.303253#1'] 12
['48.629753#2.454874#0', '48.634551#2.429733#0'] 14
['48.710885#2.394978#0', '48.699461#2.383516#0'] 13
['48.849264#2.218605#0', '48.863629#2.064346#1'] 13
['48.606266#2.553777#0', '48.604454#2.572366#1'] 20
['48.606266#2.553777#0', '48.604454#2.572366#0'] 12
['48.838407#2.651012#0', '48.839100#2.664124#1'] 12
['48.859422#2.461040#0', '48.866692#2.477917#0', '48.859422#2.461040#1'] 12
['48.634551#2.429733#0', '48.613415#2.382103#1'] 15
['49.011714#2.546036#0', '49.006141#2.577452#0'] 22
['48.791319#2.659523#0', '48.795645#2.641165#0'] 25
['48.791319#2.659523#0', '48.804368#2.621496#0'] 13
['48.600462#2.463906#1', '48.585143#2.469069#1'] 14
